# Time[s]    Strain
5.371093750000000000e-02 -1.461570194148415528e-22
5.395507812500000000e-02 -1.493265155259888026e-22
5.419921875000000000e-02 -1.382960753357555792e-22
5.444335937500000000e-02 -1.108315677204532965e-22
5.468750000000000000e-02 -6.960903141688346426e-23
5.493164062500000000e-02 -2.200001050184430695e-23
5.517578125000000000e-02 2.192968325579130127e-23
5.541992187500000000e-02 5.217663148159898822e-23
5.566406250000000000e-02 6.125355274655324117e-23
5.590820312500000000e-02 4.578673947937975280e-23
5.615234375000000000e-02 7.237169121353683633e-24
5.639648437500000000e-02 -4.811485717290627210e-23
5.664062500000000000e-02 -1.100016350681567767e-22
5.688476562500000000e-02 -1.660041500895350454e-22
5.712890625000000000e-02 -2.041619815536118213e-22
5.737304687500000000e-02 -2.155393824310287190e-22
5.761718750000000000e-02 -1.958985524552031359e-22
5.786132812500000000e-02 -1.462253863082003650e-22
5.810546875000000000e-02 -7.240877571865041443e-23
5.834960937500000000e-02 1.556854826999863131e-23
5.859375000000000000e-02 1.048191275393230625e-22
5.883789062500000000e-02 1.812521618798973337e-22
5.908203125000000000e-02 2.319809818867124692e-22
5.932617187500000000e-02 2.482793957268838867e-22
5.957031250000000000e-02 2.282316859892335584e-22
5.981445312500000000e-02 1.778297593434032684e-22
6.005859375000000000e-02 1.097203526974066560e-22
6.030273437500000000e-02 3.989264185420828333e-23
6.054687500000000000e-02 -1.641845772283878140e-23
6.079101562500000000e-02 -4.816841520012823032e-23
6.103515625000000000e-02 -5.049487704853362139e-23
6.127929687500000000e-02 -2.523892830225247743e-23
6.152343750000000000e-02 1.976630804037140921e-23
6.176757812500000000e-02 7.250474194064902665e-23
6.201171875000000000e-02 1.195500461057845008e-22
6.225585937500000000e-02 1.493257775369280578e-22
6.250000000000000000e-02 1.549674473633334886e-22
6.274414062500000000e-02 1.359208465875299115e-22
6.298828125000000000e-02 9.786255391322347267e-23
6.323242187500000000e-02 5.096786643348793279e-23
6.347656250000000000e-02 6.909178480140342585e-24
6.372070312500000000e-02 -2.449299237055136510e-23
6.396484375000000000e-02 -3.766767871009905887e-23
6.420898437500000000e-02 -3.192515976838592458e-23
6.445312500000000000e-02 -1.056807306338961165e-23
6.469726562500000000e-02 2.068421860021090692e-23
6.494140625000000000e-02 5.529403685940729193e-23
6.518554687500000000e-02 8.721785879289453141e-23
6.542968750000000000e-02 1.118139252237194786e-22
6.567382812500000000e-02 1.263400629467012245e-22
6.591796875000000000e-02 1.301363034626573645e-22
6.616210937500000000e-02 1.246030619813871858e-22
6.640625000000000000e-02 1.129601879471766282e-22
6.665039062500000000e-02 9.957072432261591286e-23
6.689453125000000000e-02 8.864042659313074640e-23
6.713867187500000000e-02 8.261500733790261140e-23
6.738281250000000000e-02 8.118369825306455543e-23
6.762695312500000000e-02 8.164217966478227821e-23
6.787109375000000000e-02 8.041006108850256993e-23
6.811523437500000000e-02 7.469149305679136823e-23
6.835937500000000000e-02 6.338692040729265094e-23
6.860351562500000000e-02 4.711850667964081000e-23
6.884765625000000000e-02 2.777551802389607550e-23
6.909179687500000000e-02 7.949995806707559678e-24
6.933593750000000000e-02 -9.617594908250623022e-24
6.958007812500000000e-02 -2.252134775919084975e-23
6.982421875000000000e-02 -2.899251304468964338e-23
7.006835937500000000e-02 -2.800442666143040848e-23
7.031250000000000000e-02 -1.935809241896049386e-23
7.055664062500000000e-02 -3.991152255334495865e-24
7.080078125000000000e-02 1.551099806066042599e-23
7.104492187500000000e-02 3.472217396036443001e-23
7.128906250000000000e-02 4.819884132201386284e-23
7.153320312500000000e-02 5.138684899266772539e-23
7.177734375000000000e-02 4.268391285888779461e-23
7.202148437500000000e-02 2.443276698924630467e-23
7.226562500000000000e-02 2.308067328077847035e-24
7.250976562500000000e-02 -1.656895483026701477e-23
7.275390625000000000e-02 -2.609052692161600353e-23
7.299804687500000000e-02 -2.345279704394262125e-23
7.324218750000000000e-02 -1.042249682281645412e-23
7.348632812500000000e-02 7.187491437412300934e-24
7.373046875000000000e-02 2.186361984503970310e-23
7.397460937500000000e-02 2.752776665309405094e-23
7.421875000000000000e-02 2.193606801066668036e-23
7.446289062500000000e-02 7.253035093410702938e-24
7.470703125000000000e-02 -1.127810818844534652e-23
7.495117187500000000e-02 -2.767001559530821633e-23
7.519531250000000000e-02 -3.723930493582419646e-23
7.543945312500000000e-02 -3.751361226389957440e-23
7.568359375000000000e-02 -2.801109366661288713e-23
7.592773437500000000e-02 -9.512227208099940421e-24
7.617187500000000000e-02 1.652212761818874028e-23
7.641601562500000000e-02 4.810029097596758786e-23
7.666015625000000000e-02 8.253799791441730784e-23
7.690429687500000000e-02 1.163098371742635093e-22
7.714843750000000000e-02 1.452864521638874639e-22
7.739257812500000000e-02 1.656423694497345149e-22
7.763671875000000000e-02 1.752527590258774014e-22
